OBJECTID,Time,budget_year,Group_Section,department,DIVISION,DEPARTMENT_DESCRIPTION,fund_code,FUND_DESCRIPTION,account_type,account_category,ACCOUNT_DESCRIPTION,amount
13,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,Longevity,200
14,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Water,Water Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,82257
15,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Gas Tax,Gas Tax 2106,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,112837
16,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - CR,-716863
17,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,16715
18,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,11528
19,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,4830
20,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,197487
21,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,166221
22,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,Automobile Allowance,2000
23,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,7071
24,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,71473
25,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,50000
26,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Telephone,2000
27,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Other Advertising,3000
28,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Personnel Recruitment Advertis,2000
29,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Cellular Telephone,3600
30,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Transportation,500
31,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,City Property,Computer Equipment,5000
32,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Community Center,Community Center Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,1385
33,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Parking,Parking Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,30212
34,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Solid Waste,Solid Waste and Recycling,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,437508
35,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Storm Drainage,Storm Drainage Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,22952
36,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Wastewater,Wastewater Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,29712
37,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,1000
38,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,51940
39,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Rental Of Vehicles,10425
40,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Software Maintenance,25000
41,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Telephone,26940
42,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,-51940
43,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Water,Water Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,-358
44,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Gas Tax,Gas Tax 2106,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,-4875
45,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - CR,-73265
46,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Community Center,Community Center Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,-353
47,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Parking,Parking Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,-7799
48,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Solid Waste,Solid Waste and Recycling,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,102078
49,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Storm Drainage,Storm Drainage Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,-14238
50,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,Wastewater,Wastewater Fund,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,-1190
51,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,Intergovernmental,State Government Grants - Op - Ncat,-590298
52,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,Intergovernmental,Federal Government Grants - Op - CatDir,304730
53,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Base Labor Reduction,-758626
54,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,Miscellaneous Revenue,Other Departmental Services,4000
55,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Other Fees,-57000
56,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Tour Fees,1750
57,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Liability Insurance Premiums,30062
58,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Facility Use Fees,40000
59,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Registration Fees,-101800
60,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Community Services Fees,3200
61,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Subsidized Parent Fees,-50000
62,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Non-Subsidized Parent Fees,-2864429
63,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Other General Fees and Charges,3219612
64,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Service Fees,40000
65,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,Intergovernmental,Miscellaneous Governmental Revenue,5000
66,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Memberships Licenses and Dues,1000
67,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Purchase Card Clearing,1839
68,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Refunds And Reimbursements,5000
69,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Books & Periodicals,5708
70,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Food - Food Programs,125000
71,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Construction Supplies,1027
72,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Computer Supplies,8615
73,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Small Tools And Equipment,9193
74,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,Intergovernmental,State Government Grants - Op - Ncat,901263
75,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Worker's Compensation,65152
76,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,State Unemployment Insurance,38842
77,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Liability Insurance Premiums,27300
78,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Fees And Permits,20000
79,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Rental Of Equipment,8500
80,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Labor and Supply Offset,Central Services Mail Charges,1000
81,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,City Property,Computer Equipment,39800
82,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Other Fees,75000
83,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Lodging,2500
84,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Meals,1500
85,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Transportation,70896
86,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Recreational Services,70000
87,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Blueprint And Photo,173
88,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Printing And Binding,21500
89,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Personnel Recruitment Advertis,30000
90,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Communication Lines,9808
91,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Cellular Telephone,5000
92,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Telephone,18261
93,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Recreational Supplies,197269
94,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Electrical Supplies,189
95,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Scientific And Technical Supply,4438
96,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Safety Equipment,303
97,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Paint Supplies,13
98,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Office Supplies,44249
99,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Postage,1253
100,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Other Travel Expenses,2500
101,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Other Professional Services,35171
102,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Engineering And Architectural,250
103,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Contracted Instructional Svcs,13500
104,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Banking And Fiscal Agent Svcs,12000
105,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Regular Hours,3884672
106,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Longevity,700
107,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Out Of Class,170150
108,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Overtime,8500
109,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Computer Software Maintenance,10000
110,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Repair And Maintenance Service,25000
111,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Custodial Services,9273
112,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Other Technical Services,3500
113,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Medical Service,250
114,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Security Services,11160
115,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Medicare Insurance,56328
116,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,FICA - OASDI,240850
117,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Clothing and Uniforms,30929
118,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Automobile Allowance,2500
119,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Educational Assistance,1000
120,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Rental Of Land And Buildings,89226
121,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Bus Passes,3000
122,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Deferred Compensation No 1,9220
123,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,PERS Retirement,404360
124,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Employee Services,Insurance Contribution,583858
125,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Registration Fees,150000
126,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Subsidized Parent Fees,100000
127,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,"Charges, Fees, and Services",Non-Subsidized Parent Fees,4735012
128,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Revenues,Intergovernmental,Miscellaneous Governmental Revenue,3000
129,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Fuel,739
130,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Rental Of Vehicles,114
131,2015,FY2014_15,Operating,Parks and Recreation,4th R Division,4th R,Other Governmental Funds,4th R Program,Expenses,Other Services and Supplies,Vehicle Repair and Maintenance,1527
132,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Revenues,Intergovernmental,Other Agency Payments,-223272
133,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Other Services and Supplies,Clerical Services,-25000
134,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,-16366
135,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,-75327
136,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,N Natomas Transp Mgmt Assoc,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,24444
137,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Neighborhood Water Quality Dist,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,-105
138,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,N Nat Lndscp 99-02,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,82635
139,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Willowcreek Assmnt Md,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,3429
140,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Willowcreek Lndscpng CFD,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,2082
141,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,N Natomas Lands CFD 3,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,40451
142,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Village Garden N.-Mtce Dist #1,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,6440
143,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Neighborhood Park Maint CFD,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,1086831
144,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Del Paso Nuevo Landscaping CFD,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,8605
145,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Township 9 CFD No. 2012-06,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,30776
146,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Other Governmental Funds,Landscaping and Lighting,Revenues,"Charges, Fees, and Services",Special Assessments - Service,426984
147,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Power Inn Rd Md 2003-01,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,727
148,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Neighborhood Lighting Dist,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,889
149,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Subdiv Lndscpng Maint Dist,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,4454
150,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,Laguna Creek Maint Dist,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,27903
151,2015,FY2014_15,Support,Finance,Accounting Division,Public Improvement Finance,Special Districts,12th Street Maint Benefit Area,Revenues,"Charges, Fees, and Services",Special Assessments - Service SD,2102
152,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,23654
153,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,101143
154,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Revenues,Intergovernmental,Other Agency Payments,282823
155,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,2800
156,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Automobile Allowance,2000
157,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Bus Passes,4560
158,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,48840
159,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,228389
160,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,17633
161,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Other Services and Supplies,Clerical Services,25000
162,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,45408
163,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Other Services and Supplies,Auditing And Accounting Svcs,220000
164,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,216539
165,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Other Services and Supplies,Contracted Instructional Svcs,15000
166,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Other Services and Supplies,County Tax Collection Svcs,150000
167,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Longevity,400
168,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Overtime,26000
169,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,General Funds,General Fund,Expenses,Employee Services,Regular Hours,1631334
170,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,Special Districts,Village Garden N.-Mtce Dist #1,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,1138
171,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,Special Districts,Neighborhood Park Maint CFD,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,8852
172,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,Special Districts,Power Inn Area Prop & Business,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,1739
173,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,Special Districts,Greater Broadway PBID,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,1343
174,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,Special Districts,Midtown Sacramento PBID,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,1429
175,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,Special Districts,Del Paso Nuevo Landscaping CFD,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,1126
176,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,Special Districts,Mack Road PBID,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,1236
177,2015,FY2014_15,Support,Finance,Accounting Division,Accounting,Special Districts,Power Inn Rd Md 2003-01,Expenses,Labor and Supply Offset,Budgeted Reimbursement - DR,1034
