OBJECTID,Time,budget_year,Group_Section,department,DIVISION,DEPARTMENT_DESCRIPTION,fund_code,FUND_DESCRIPTION,account_type,account_category,ACCOUNT_DESCRIPTION,amount
9523,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,11305
9524,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
9525,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,2644
9526,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,6214
9527,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,28319
9528,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,1823
9529,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,6000
9530,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9531,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,5129
9532,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,436
9533,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,31070
9534,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9535,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,55000
9536,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,39192
9537,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,Regular Hours,193893
9538,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,12021
9539,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,10100
9540,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,800
9541,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
9542,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,2811
9543,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,6836
9544,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,30114
9545,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,1939
9546,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,6000
9547,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9548,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,5129
9549,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,436
9550,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,664
9551,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9552,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,54000
9553,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 3,Council District 3,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,1000
9554,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,35083
9555,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,Regular Hours,207210
9556,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,12847
9557,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,13300
9558,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
9559,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,3005
9560,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,7322
9561,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,32182
9562,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,2072
9563,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,6000
9564,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9565,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,5129
9566,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,436
9567,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,-14651
9568,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9569,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,54000
9570,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 4,Council District 4,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,1000
9571,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,2067
9572,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,19952
9573,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,Regular Hours,206681
9574,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,12814
9575,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,9700
9576,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
9577,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,2997
9578,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,7408
9579,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,32100
9580,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,6000
9581,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9582,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,5129
9583,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,436
9584,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,4651
9585,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9586,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 5,Council District 5,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,55000
9587,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,6000
9588,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9589,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,5129
9590,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,436
9591,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,24701
9592,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9593,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,55000
9594,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,10900
9595,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,-9100
9596,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
9597,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,2854
9598,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,7014
9599,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,30569
9600,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,1968
9601,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,20723
9602,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,Regular Hours,196826
9603,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 6,Council District 6,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,11915
9604,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,7925
9605,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,2303
9606,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,18029
9607,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,Regular Hours,230339
9608,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,14281
9609,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,6000
9610,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9611,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,5129
9612,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,436
9613,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,-23921
9614,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9615,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,55000
9616,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,10900
9617,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,-600
9618,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
9619,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,3340
9620,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 7,Council District 7,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,35774
9621,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,33462
9622,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,2155
9623,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,32942
9624,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,Regular Hours,215456
9625,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,13358
9626,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,6000
9627,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9628,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,5129
9629,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,436
9630,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,-20485
9631,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9632,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,55000
9633,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,10300
9634,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,600
9635,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
9636,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,3124
9637,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 8,Council District 8,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,7458
9638,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,22919
9639,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,107406
9640,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,6916
9641,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,100737
9642,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,Regular Hours,691558
9643,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,42697
9644,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,47500
9645,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9646,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,14478
9647,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,-3349
9648,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,-13128
9649,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9650,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,55000
9651,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,9400
9652,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,1800
9653,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,1890
9654,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,10028
9655,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the Mayor,Mayor,General Funds,General Fund,Expenses,Other Services and Supplies,Base Budget Increase,10000
9656,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the City Auditor Division,Office of the City Auditor,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,20910
9657,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the City Auditor Division,Office of the City Auditor,General Funds,General Fund,Expenses,Other Services and Supplies,Lodging,3000
9658,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the City Auditor Division,Office of the City Auditor,General Funds,General Fund,Expenses,Other Services and Supplies,Meals,1390
9659,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the City Auditor Division,Office of the City Auditor,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,5000
9660,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the City Auditor Division,Office of the City Auditor,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,22000
9661,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the City Auditor Division,Office of the City Auditor,General Funds,General Fund,Expenses,Labor and Supply Offset,Central Services Mail Charges,500
9662,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Office of the City Auditor Division,Office of the City Auditor,General Funds,General Fund,Expenses,City Property,Computer Equipment,2010
