budget_year,account_type,department,division,org_code,org_description,fund,fund_code,account_category,account_code,account_description,amount
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,General Supplies,E_461020,Office Supplies,40000
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Other Objects,E_481100,Community Support Programs,55000
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Service & Supply Adjustments,E_890070,Department Budget Reduction,9367
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Salaries,E_411010,Regular Hours,206910
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,39199
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,34090
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-907
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,7256
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,12828
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,3000
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,630
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,2069
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Labor Adjustments,E_810070,Annual Adjustments - Review,481
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Labor Adjustments,E_810040,Base Labor Reduction,-216600
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Labor Adjustments,E_810070,Annual Adjustments - Review,481
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Service & Supply Adjustments,E_890040,Base Budget Increase,2995
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Labor Adjustments,E_810040,Base Labor Reduction,216600
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Other Objects,E_481100,Community Support Programs,500
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Service & Supply Adjustments,E_890060,Citywide Budget Increase,-4554
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Service & Supply Adjustments,E_890070,Department Budget Reduction,-4643
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Salaries,E_411010,Regular Hours,210387
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,26432
FY17,Expenses,Mayor/Council,City Council District 4,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,34663
FY17,Expenses,Police,Investigations Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,-6811
FY17,Expenses,Police,Investigations Division,,,,General Funds,Interfund Reimbursement,E_502160,Other Labor Reimbursement,-21155
FY17,Expenses,Police,Investigations Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,-113354
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461200,Computer Supplies,2000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461210,Computer Software,2250
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461220,General Supply,100
FY17,Expenses,Police,Investigations Division,,,,General Funds,Food,E_463030,Food - Official Hospitality,50
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Objects,E_481160,Prisoner Subsistence and Trans,11945
FY17,Expenses,Police,Investigations Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,-141346
FY17,Expenses,Police,Investigations Division,,,,General Funds,Interfund Reimbursement,E_502160,Other Labor Reimbursement,-382746
FY17,Expenses,Police,Investigations Division,,,,General Funds,Salaries,E_411010,Regular Hours,6471213
FY17,Expenses,Police,Investigations Division,,,,General Funds,Salaries,E_411020,Special Off Duty Police - Reg,55000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Earnings,E_412010,Overtime,508182
FY17,Expenses,Police,Investigations Division,,,,General Funds,Earnings,E_412050,Night Shift,54
FY17,Expenses,Police,Investigations Division,,,,General Funds,Earnings,E_412060,On Call,37900
FY17,Expenses,Police,Investigations Division,,,,General Funds,Earnings,E_412070,Out Of Class,7730
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,177017
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,17649
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413120,Sick Leave Annual,471
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413130,Longevity,3500
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,695186
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,2370592
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-169233
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,6208
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,2064
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,82820
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,4256
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,93832
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,14070
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,352827
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,7197
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,25000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Property Services,E_444020,Rental Of Equipment,200
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_453010,Telephone,6000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,10000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_453030,Communication Lines,1000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458010,Transportation,8000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458020,Meals,4000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458030,Lodging,10000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,8571
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461020,Office Supplies,1000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,500
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,600
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,1500
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,1000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461080,Chemicals,1000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,50000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,2000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461170,Ammunition & Explosives,100
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461200,Computer Supplies,2500
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461210,Computer Software,5000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Food,E_463030,Food - Official Hospitality,200
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,1000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Property Accounts,E_474410,Computer Equipment,900
FY17,Expenses,Police,Investigations Division,,,,General Funds,Salaries,E_411010,Regular Hours,2153942
FY17,Expenses,Police,Investigations Division,,,,General Funds,Earnings,E_412010,Overtime,87500
FY17,Expenses,Police,Investigations Division,,,,General Funds,Earnings,E_412050,Night Shift,84365
FY17,Expenses,Police,Investigations Division,,,,General Funds,Earnings,E_412070,Out Of Class,1160
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,142
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413130,Longevity,1500
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,313156
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,489944
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-33302
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,14019
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413210,Bus Passes,100
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413280,Automobile Allowance,600
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,2500
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,87216
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,31232
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,6090
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,55164
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,5000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Property Services,E_443010,Repair And Maintenance Service,15251
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Property Services,E_443060,Equipment Maintenance and Repair,500
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Property Services,E_444020,Rental Of Equipment,3000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_453010,Telephone,14000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,10000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_453030,Communication Lines,100
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458010,Transportation,7000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458020,Meals,3000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458030,Lodging,5000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,10000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461020,Office Supplies,25000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,500
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461200,Computer Supplies,500
FY17,Expenses,Police,Investigations Division,,,,General Funds,Food,E_463030,Food - Official Hospitality,50
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,100
FY17,Expenses,Police,Investigations Division,,,,General Funds,Property Accounts,E_474410,Computer Equipment,3000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Property Services,E_444030,Rental Of Vehicles,1836
FY17,Expenses,Police,Investigations Division,,,,General Funds,Salaries,E_411010,Regular Hours,2853380
FY17,Expenses,Police,Investigations Division,,,,General Funds,Earnings,E_412010,Overtime,7838
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,43542
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,6989
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413120,Sick Leave Annual,1130
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413130,Longevity,1600
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,320940
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,1051442
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-70639
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,125
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,39809
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,41374
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,6300
FY17,Expenses,Police,Investigations Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,156935
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,3072
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Property Services,E_443050,Computer Software Maintenance,10000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Purchased Property Services,E_444020,Rental Of Equipment,300
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,5000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_453030,Communication Lines,2000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_456020,Towing And Storage Services,100
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458010,Transportation,4000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458020,Meals,3000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458030,Lodging,5000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461210,Computer Software,2000
FY17,Expenses,Police,Investigations Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,1200
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461020,Office Supplies,1300
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,1000
FY17,Expenses,Police,Investigations Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,500
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,635
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,832
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,2776
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,210
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,10530
FY17,Expenses,Police,Field Services Division,,,,General Funds,Labor Adjustments,E_810060,Department Labor Reduction,-420000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,422
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,450
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,2000
FY17,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461010,Postage,100
FY17,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461020,Office Supplies,590
FY17,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,4550
FY17,Expenses,Police,Field Services Division,,,,General Funds,Books and Periodicals,E_464010,Books & Periodicals,100
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,640
FY17,Expenses,Police,Field Services Division,,,,General Funds,Salaries,E_411010,Regular Hours,191455
FY17,Expenses,Police,Field Services Division,,,,General Funds,Earnings,E_412070,Out Of Class,109
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,12040
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,794
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413130,Longevity,200
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,15240
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,70549
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-5743
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,7658
FY17,Expenses,Police,Field Services Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,5148
FY17,Expenses,Police,Field Services Division,,,,General Funds,Purchased Property Services,E_442010,Landscape Maintenance Services,6000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Purchased Property Services,E_442030,Custodial Services,22000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Purchased Property Services,E_443010,Repair And Maintenance Service,28030
FY17,Expenses,Police,Field Services Division,,,,General Funds,Purchased Property Services,E_443030,Radio Equip M&R-Comm Division,144813
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_453010,Telephone,13000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,2000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_455010,Printing And Binding,1900
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_458010,Transportation,1200
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_458020,Meals,3799
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,10000
FY17,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461020,Office Supplies,13448
FY17,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,1500
FY17,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461150,Recreational Supplies,750
FY17,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,5000
FY17,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461210,Computer Software,5000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Energy and Fuel,E_462010,Utilities Exp,21908
FY17,Expenses,Police,Field Services Division,,,,General Funds,Food,E_463030,Food - Official Hospitality,300
FY17,Expenses,Police,Field Services Division,,,,General Funds,Books and Periodicals,E_464010,Books & Periodicals,1500
FY17,Expenses,Police,Field Services Division,,,,General Funds,Books and Periodicals,E_464020,Subscriptions And Publications,100
FY17,Expenses,Police,Field Services Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,901
FY17,Expenses,Police,Field Services Division,,,,General Funds,Property Accounts,E_474410,Computer Equipment,5000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Labor Adjustments,E_810040,Base Labor Reduction,-3825
FY17,Expenses,Police,Field Services Division,,,,General Funds,Purchased Property Services,E_444030,Rental Of Vehicles,220
FY17,Expenses,Police,Field Services Division,,,,General Funds,Salaries,E_411010,Regular Hours,6515241
FY17,Expenses,Police,Field Services Division,,,,General Funds,Earnings,E_412010,Overtime,242000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Earnings,E_412050,Night Shift,670469
FY17,Expenses,Police,Field Services Division,,,,General Funds,Earnings,E_412060,On Call,15000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Earnings,E_412070,Out Of Class,14268
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,23130
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,1370
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413130,Longevity,2500
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,797445
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,1109915
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-59242
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,20021
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,1096
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413210,Bus Passes,500
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413280,Automobile Allowance,1000
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,36159
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,392584
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,94471
FY17,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,17430
