budget_year,account_type,department,division,org_code,org_description,fund,fund_code,account_category,account_code,account_description,amount
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,6805
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,5000
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Purchased Property Services,E_444020,Rental Of Equipment,5000
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,40000
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,37000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Salaries,E_411010,Regular Hours,8783313
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412010,Overtime,450000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412060,On Call,201324
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,1019394
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,1367460
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,1383339
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-55530
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,3262
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413250,Safety Equipment Allowance,215000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,113203
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,127358
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,30030
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,302760
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Labor Adjustments,E_810060,Department Labor Reduction,200000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,306534
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Purchased Property Services,E_442010,Landscape Maintenance Services,29232
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Purchased Property Services,E_444020,Rental Of Equipment,173849
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Other Purchased Services,E_453010,Telephone,356962
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Other Purchased Services,E_453030,Communication Lines,220000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,1488
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,5900
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Energy and Fuel,E_462010,Utilities Exp,365000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Food,E_463020,Food - Animal Consumption,59136
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Property Accounts,E_474410,Computer Equipment,71904
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Interfund SerProvided,E_501010,Central Services Mail Charges,80000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Interfund Reimbursement,E_502100,Measure U Labor Reimbursement,-11802008
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,-450000
FY18,Revenues,Police,Office of Operations Division,,,,General Funds,Intergovernmental Accounts,R_341060,Other Recoveries,75000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Salaries,E_411020,Special Off Duty Police - Reg,1000000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Labor Adjustments,E_810040,Base Labor Reduction,-136023
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Labor Adjustments,E_810050,Base Labor Increase,75000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Interfund Reimbursement,E_502100,Measure U Labor Reimbursement,-1128780
FY18,Revenues,Police,Office of Operations Division,,,,General Funds,Intergovernmental Accounts,R_336010,State Mandated Reimbursement SB 90,212000
FY18,Revenues,Police,Office of Operations Division,,,,General Funds,Intergovernmental Accounts,R_337030,P.O.S.T. Reimbursement,167000
FY18,Revenues,Police,Office of Operations Division,,,,General Funds,Intergovernmental Accounts,R_341060,Other Recoveries,150000
FY18,Revenues,Police,Office of Operations Division,,,,General Funds,"Charges, Fees, & Services Accounts",R_342020,Jail Booking Fee Recovery,210000
FY18,Revenues,Police,Office of Operations Division,,,,General Funds,"Charges, Fees, & Services Accounts",R_351040,DUI Fees,65000
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,2310
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,40604
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Salaries,E_411010,Regular Hours,1177955
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,107464
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,17080
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,215942
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-31126
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,13819
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,213928
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-5974
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,36508
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413210,Bus Passes,750
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,832
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,2887
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,210
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,6864
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,1000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,4911
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,1000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461200,Computer Supplies,2000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Food,E_463010,Food - Food Programs,1000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,300
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Salaries,E_411010,Regular Hours,199151
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Salaries,E_411020,Special Off Duty Police - Reg,628002
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412010,Overtime,8191
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412050,Night Shift,615
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412070,Out Of Class,425
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,15234
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,36167
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,7966
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Salaries,E_411010,Regular Hours,2670052
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Earnings,E_412010,Overtime,155000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,88954
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,8931
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413120,Sick Leave Annual,432
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413130,Longevity,3900
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,253741
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,476805
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,481294
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-66126
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,6506
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,1119
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,36568
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,2766
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,38715
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,5913
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,92036
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433050,Veterinarian Services,5300
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,13000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,28000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461020,Office Supplies,500
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,19259
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,1800
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,300
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Food,E_463010,Food - Food Programs,350
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Food,E_463020,Food - Animal Consumption,8766
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,300
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,-1016053
FY18,Revenues,Police,Office of Specialized Services Division,,,,General Funds,"Charges, Fees, & Services Accounts",R_347090,Other Departmental Service,3000000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,-55872
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,267357
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Property Accounts,E_474410,Computer Equipment,2500
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Purchased Property Services,E_444030,Rental Of Vehicles,252
FY18,Revenues,Police,Office of Specialized Services Division,,,,General Funds,Licenses & Permits,R_321070,Business Permits and Licenses,104000
FY18,Revenues,Police,Office of Specialized Services Division,,,,General Funds,"Charges, Fees, & Services Accounts",R_347090,Other Departmental Service,12000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Salaries,E_411010,Regular Hours,517044
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Earnings,E_412010,Overtime,11000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,49081
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,685
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413130,Longevity,500
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,63676
FY18,Revenues,Police,Office of Specialized Services Division,,,,General Funds,Licenses & Permits,R_321070,Business Permits and Licenses,4000
FY18,Revenues,Police,Office of Specialized Services Division,,,,General Funds,"Charges, Fees, & Services Accounts",R_347090,Other Departmental Service,1000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,72425
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,73575
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-10975
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,11143
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,548
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,32916
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,12854
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,7497
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,1260
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,17822
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,3000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,18480
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461010,Postage,100
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461020,Office Supplies,4000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,5000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,7500
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461150,Recreational Supplies,250
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,500
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461210,Computer Software,645
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Food,E_463010,Food - Food Programs,1000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Books and Periodicals,E_464010,Books & Periodicals,400
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,250
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,32000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461150,Recreational Supplies,284
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,2000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461210,Computer Software,1000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Energy and Fuel,E_462010,Utilities Exp,655
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Food,E_463010,Food - Food Programs,320
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,250
FY18,Revenues,Police,Office of Specialized Services Division,,,,General Funds,"Charges, Fees, & Services Accounts",R_347090,Other Departmental Service,407000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Salaries,E_411010,Regular Hours,3179503
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Salaries,E_411020,Special Off Duty Police - Reg,186000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Earnings,E_412010,Overtime,127000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,61583
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,5101
FY18,Revenues,Police,Office of Specialized Services Division,,,,Other Governmental Funds,"Fines, Forfeitures, &  Penalties",R_351020,Fines and Penalties,700000
FY18,Revenues,Police,Office of Specialized Services Division,,,,Other Governmental Funds,"Fines, Forfeitures, &  Penalties",R_351020,Fines and Penalties,-100000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,-271570
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Purchased Property Services,E_443070,Vehicle Repair and Maintenance,1295
FY18,Revenues,Police,Office of Specialized Services Division,,,,General Funds,"Charges, Fees, & Services Accounts",R_347090,Other Departmental Service,8000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Interfund Reimbursement,E_502150,Grant Labor Reimbursement,129794
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413130,Longevity,1100
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,333241
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,566046
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,571624
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-82656
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,7823
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,37128
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,6813
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,46102
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,6930
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,109597
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,600
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,7000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Purchased Property Services,E_443010,Repair And Maintenance Service,1000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,3200
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Purchased Services,E_456020,Towing And Storage Services,65000
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,15625
FY18,Expenses,Police,Office of Specialized Services Division,,,,General Funds,General Supplies,E_461020,Office Supplies,2275
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Salaries,E_411010,Regular Hours,8631328
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Salaries,E_411020,Special Off Duty Police - Reg,329167
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412010,Overtime,222000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412050,Night Shift,14322
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412060,On Call,12000
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Earnings,E_412070,Out Of Class,21322
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,335346
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,7881
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413120,Sick Leave Annual,917
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413130,Longevity,1600
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,881513
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,1554736
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,1569654
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-212111
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,36837
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,2422
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,163324
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,7661
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,125154
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,18270
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,297521
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Purchased Property Services,E_443010,Repair And Maintenance Service,2285
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Other Purchased Services,E_453010,Telephone,500
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,2348
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,31231
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461020,Office Supplies,3900
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461070,Safety Equipment,500
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461080,Chemicals,1500
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,655
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,574
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,General Supplies,E_461200,Computer Supplies,700
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Energy and Fuel,E_462010,Utilities Exp,3102
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Food,E_463010,Food - Food Programs,300
FY18,Expenses,Police,Office of Operations Division,,,,General Funds,Service & Supply Adjustments,E_890070,Department Budget Reduction,10000
